which_table,category,variable,variable_label,survey_question,variable_logic,value,value_label,wt_field
day,,attend_school_1,Attend school -- Traveled to school this day,,"If person attends in-person school or daycare at least some of the time (school_attend in (1,2)) AND school was not selected as a purpose (purpose <> (21,22,25,26)) on travel day thus far for a trip added to this child's roster (copied trips are not checked)",0,Not selected,day_weight
day,,attend_school_1,Attend school -- Traveled to school this day,,"If person attends in-person school or daycare at least some of the time (school_attend in (1,2)) AND school was not selected as a purpose (purpose <> (21,22,25,26)) on travel day thus far for a trip added to this child's roster (copied trips are not checked)",1,Selected,day_weight
day,,attend_school_1,Attend school -- Traveled to school this day,,"If person attends in-person school or daycare at least some of the time (school_attend in (1,2)) AND school was not selected as a purpose (purpose <> (21,22,25,26)) on travel day thus far for a trip added to this child's roster (copied trips are not checked)",995,Missing,day_weight
day,,attend_school_2,"Attend school -- Traveled to another location for schooling (e.g., friend's house, parent's work) this day",,"If person attends in-person school or daycare at least some of the time (school_attend in (1,2)) AND school was not selected as a purpose (purpose <> (21,22,25,26)) on travel day thus far for a trip added to this child's roster (copied trips are not checked)",0,Not selected,day_weight
day,,attend_school_2,"Attend school -- Traveled to another location for schooling (e.g., friend's house, parent's work) this day",,"If person attends in-person school or daycare at least some of the time (school_attend in (1,2)) AND school was not selected as a purpose (purpose <> (21,22,25,26)) on travel day thus far for a trip added to this child's roster (copied trips are not checked)",1,Selected,day_weight
day,,attend_school_2,"Attend school -- Traveled to another location for schooling (e.g., friend's house, parent's work) this day",,"If person attends in-person school or daycare at least some of the time (school_attend in (1,2)) AND school was not selected as a purpose (purpose <> (21,22,25,26)) on travel day thus far for a trip added to this child's roster (copied trips are not checked)",995,Missing,day_weight
day,,attend_school_3,Attend school -- Did not travel to school this day,,"If person attends in-person school or daycare at least some of the time (school_attend in (1,2)) AND school was not selected as a purpose (purpose <> (21,22,25,26)) on travel day thus far for a trip added to this child's roster (copied trips are not checked)",0,Not selected,day_weight
day,,attend_school_3,Attend school -- Did not travel to school this day,,"If person attends in-person school or daycare at least some of the time (school_attend in (1,2)) AND school was not selected as a purpose (purpose <> (21,22,25,26)) on travel day thus far for a trip added to this child's roster (copied trips are not checked)",1,Selected,day_weight
day,,attend_school_3,Attend school -- Did not travel to school this day,,"If person attends in-person school or daycare at least some of the time (school_attend in (1,2)) AND school was not selected as a purpose (purpose <> (21,22,25,26)) on travel day thus far for a trip added to this child's roster (copied trips are not checked)",995,Missing,day_weight
day,,attend_school_998,Attend school -- Don't know,,"If person attends in-person school or daycare at least some of the time (school_attend in (1,2)) AND school was not selected as a purpose (purpose <> (21,22,25,26)) on travel day thus far for a trip added to this child's roster (copied trips are not checked)",0,Not selected,day_weight
day,,attend_school_998,Attend school -- Don't know,,"If person attends in-person school or daycare at least some of the time (school_attend in (1,2)) AND school was not selected as a purpose (purpose <> (21,22,25,26)) on travel day thus far for a trip added to this child's roster (copied trips are not checked)",1,Selected,day_weight
day,,attend_school_998,Attend school -- Don't know,,"If person attends in-person school or daycare at least some of the time (school_attend in (1,2)) AND school was not selected as a purpose (purpose <> (21,22,25,26)) on travel day thus far for a trip added to this child's roster (copied trips are not checked)",995,Missing,day_weight
day,,attend_school_999,Attend school -- Prefer not to answer,,"If person attends in-person school or daycare at least some of the time (school_attend in (1,2)) AND school was not selected as a purpose (purpose <> (21,22,25,26)) on travel day thus far for a trip added to this child's roster (copied trips are not checked)",0,Not selected,day_weight
day,,attend_school_999,Attend school -- Prefer not to answer,,"If person attends in-person school or daycare at least some of the time (school_attend in (1,2)) AND school was not selected as a purpose (purpose <> (21,22,25,26)) on travel day thus far for a trip added to this child's roster (copied trips are not checked)",1,Selected,day_weight
day,,attend_school_999,Attend school -- Prefer not to answer,,"If person attends in-person school or daycare at least some of the time (school_attend in (1,2)) AND school was not selected as a purpose (purpose <> (21,22,25,26)) on travel day thus far for a trip added to this child's roster (copied trips are not checked)",995,Missing,day_weight
day,,attend_school_no_1,Did not attend school -- Sick or quarantining,,If did not attend school or daycare on travel day,0,Not selected,day_weight
day,,attend_school_no_1,Did not attend school -- Sick or quarantining,,If did not attend school or daycare on travel day,1,Selected,day_weight
day,,attend_school_no_1,Did not attend school -- Sick or quarantining,,If did not attend school or daycare on travel day,995,Missing,day_weight
day,,attend_school_no_2,Did not attend school -- Attended class online from home,,If did not attend school or daycare on travel day,0,Not selected,day_weight
day,,attend_school_no_2,Did not attend school -- Attended class online from home,,If did not attend school or daycare on travel day,1,Selected,day_weight
day,,attend_school_no_2,Did not attend school -- Attended class online from home,,If did not attend school or daycare on travel day,995,Missing,day_weight
day,,attend_school_no_3,"Did not attend school -- Attended class online from another location (e.g., friend's)",,If did not attend school or daycare on travel day,0,Not selected,day_weight
day,,attend_school_no_3,"Did not attend school -- Attended class online from another location (e.g., friend's)",,If did not attend school or daycare on travel day,1,Selected,day_weight
day,,attend_school_no_3,"Did not attend school -- Attended class online from another location (e.g., friend's)",,If did not attend school or daycare on travel day,995,Missing,day_weight
day,,attend_school_no_4,"Did not attend school -- School was scheduled to be closed (e.g., vacation, holiday)",,If did not attend school or daycare on travel day,0,Not selected,day_weight
day,,attend_school_no_4,"Did not attend school -- School was scheduled to be closed (e.g., vacation, holiday)",,If did not attend school or daycare on travel day,1,Selected,day_weight
day,,attend_school_no_4,"Did not attend school -- School was scheduled to be closed (e.g., vacation, holiday)",,If did not attend school or daycare on travel day,995,Missing,day_weight
day,,attend_school_no_5,"Did not attend school -- School was closed or adjusted due to weather event (e.g., snow delay)",,If did not attend school or daycare on travel day,0,Not selected,day_weight
day,,attend_school_no_5,"Did not attend school -- School was closed or adjusted due to weather event (e.g., snow delay)",,If did not attend school or daycare on travel day,1,Selected,day_weight
day,,attend_school_no_5,"Did not attend school -- School was closed or adjusted due to weather event (e.g., snow delay)",,If did not attend school or daycare on travel day,995,Missing,day_weight
day,,attend_school_no_6,Did not attend school -- Other,,If did not attend school or daycare on travel day,0,Not selected,day_weight
day,,attend_school_no_6,Did not attend school -- Other,,If did not attend school or daycare on travel day,1,Selected,day_weight
day,,attend_school_no_6,Did not attend school -- Other,,If did not attend school or daycare on travel day,995,Missing,day_weight
day,,attend_school_no_998,Did not attend school -- Don't know,,If did not attend school or daycare on travel day,0,Not selected,day_weight
day,,attend_school_no_998,Did not attend school -- Don't know,,If did not attend school or daycare on travel day,1,Selected,day_weight
day,,attend_school_no_998,Did not attend school -- Don't know,,If did not attend school or daycare on travel day,995,Missing,day_weight
day,,attend_school_no_999,Did not attend school -- Prefer not to answer,,If did not attend school or daycare on travel day,0,Not selected,day_weight
day,,attend_school_no_999,Did not attend school -- Prefer not to answer,,If did not attend school or daycare on travel day,1,Selected,day_weight
day,,attend_school_no_999,Did not attend school -- Prefer not to answer,,If did not attend school or daycare on travel day,995,Missing,day_weight
day,,begin_day,Location at beginning of day,,If rMove and first day of travel period,1,Home,day_weight
day,,begin_day,Location at beginning of day,,If rMove and first day of travel period,2,"Someone else's home (e.g., friend)",day_weight
day,,begin_day,Location at beginning of day,,If rMove and first day of travel period,3,Work,day_weight
day,,begin_day,Location at beginning of day,,If rMove and first day of travel period,4,"Their other home (e.g., other parent, partner, second home)",day_weight
day,,begin_day,Location at beginning of day,,If rMove and first day of travel period,5,"Traveling (e.g., red-eye flight)",day_weight
day,,begin_day,Location at beginning of day,,If rMove and first day of travel period,7,"Temporary lodging (e.g., hotel, vacation rental)",day_weight
day,,begin_day,Location at beginning of day,,If rMove and first day of travel period,995,Missing,day_weight
day,,begin_day,Location at beginning of day,,If rMove and first day of travel period,997,Other,day_weight
day,,daily_complete,Daily survey completion status,,NA,0,Not complete,day_weight
day,,daily_complete,Daily survey completion status,,NA,1,Complete,day_weight
day,,daily_complete,Daily survey completion status,,NA,995,Missing,day_weight
day,,day_complete,Person day is complete,,NA,0,Not complete,day_weight
day,,day_complete,Person day is complete,,NA,1,Complete,day_weight
day,,day_complete,Person day is complete,,NA,995,Missing,day_weight
day,,day_id,NA,,NA,NA,NA,day_weight
day,,day_weight,NA,,NA,NA,NA,day_weight
day,,delivery_food,Travel day delivery --  Take-out/prepared food delivered to home,,If adult,0,Not selected,day_weight
