"","which_table","variable","wt_field","category","survey_question","variable_logic","variable_label","value","value_label","value_logic"
"1","day","num_trips","day_weight",NA,NA,NA,NA,NA,NA,NA
"2","day","no_travel_other_specify","day_weight",NA,NA,NA,NA,NA,NA,NA
"3","day","telework_time","day_weight",NA,NA,NA,NA,NA,NA,NA
"4","per","num_person_days","person_weight",NA,NA,NA,NA,NA,NA,NA
"5","per","work_lat","person_weight",NA,NA,NA,NA,NA,NA,NA
"6","per","work_lon","person_weight",NA,NA,NA,NA,NA,NA,NA
"7","per","work_bg","person_weight",NA,NA,NA,NA,NA,NA,NA
"8","per","work_state","person_weight",NA,NA,NA,NA,NA,NA,NA
"9","per","work_park_cost","person_weight",NA,NA,NA,NA,NA,NA,NA
"10","per","school_lat","person_weight",NA,NA,NA,NA,NA,NA,NA
"11","per","school_lon","person_weight",NA,NA,NA,NA,NA,NA,NA
"12","per","school_bg","person_weight",NA,NA,NA,NA,NA,NA,NA
"13","per","school_state","person_weight",NA,NA,NA,NA,NA,NA,NA
"14","per","work_in_mpo","person_weight",NA,NA,NA,NA,NA,NA,NA
"15","per","work_county","person_weight",NA,NA,NA,NA,NA,NA,NA
"16","per","work_city","person_weight",NA,NA,NA,NA,NA,NA,NA
"17","per","work_thrive_category","person_weight",NA,NA,NA,NA,NA,NA,NA
"18","per","work_thrive_category_broad","person_weight",NA,NA,NA,NA,NA,NA,NA
"19","per","work_urban_rural_suburban","person_weight",NA,NA,NA,NA,NA,NA,NA
"20","per","school_in_mpo","person_weight",NA,NA,NA,NA,NA,NA,NA
"21","per","school_county","person_weight",NA,NA,NA,NA,NA,NA,NA
"22","per","school_city","person_weight",NA,NA,NA,NA,NA,NA,NA
"23","per","school_thrive_category","person_weight",NA,NA,NA,NA,NA,NA,NA
"24","per","school_thrive_category_broad","person_weight",NA,NA,NA,NA,NA,NA,NA
"25","per","school_urban_rural_suburban","person_weight",NA,NA,NA,NA,NA,NA,NA
"26","per","race_ethnicity","person_weight",NA,NA,NA,NA,NA,NA,NA
"27","hh","sample_segment","hh_weight",NA,NA,NA,NA,NA,NA,NA
"28","hh","sample_home_lat","hh_weight",NA,NA,NA,NA,NA,NA,NA
"29","hh","sample_home_lon","hh_weight",NA,NA,NA,NA,NA,NA,NA
"30","hh","sample_home_bg","hh_weight",NA,NA,NA,NA,NA,NA,NA
"31","hh","sample_home_county","hh_weight",NA,NA,NA,NA,NA,NA,NA
"32","hh","sample_home_state","hh_weight",NA,NA,NA,NA,NA,NA,NA
"33","hh","home_bg","hh_weight",NA,NA,NA,NA,NA,NA,NA
"34","hh","home_county","hh_weight",NA,NA,NA,NA,NA,NA,NA
"35","hh","home_state","hh_weight",NA,NA,NA,NA,NA,NA,NA
"36","hh","num_hh_days","hh_weight",NA,NA,NA,NA,NA,NA,NA
"37","hh","num_hh_days_week","hh_weight",NA,NA,NA,NA,NA,NA,NA
"38","hh","num_hh_days_weekend","hh_weight",NA,NA,NA,NA,NA,NA,NA
"39","hh","num_adults","hh_weight",NA,NA,NA,NA,NA,NA,NA
"40","hh","num_kids","hh_weight",NA,NA,NA,NA,NA,NA,NA
"41","hh","num_students","hh_weight",NA,NA,NA,NA,NA,NA,NA
"42","hh","num_workers","hh_weight",NA,NA,NA,NA,NA,NA,NA
"43","hh","hh_in_mpo","hh_weight",NA,NA,NA,NA,NA,NA,NA
"44","hh","hh_county","hh_weight",NA,NA,NA,NA,NA,NA,NA
"45","hh","hh_city","hh_weight",NA,NA,NA,NA,NA,NA,NA
"46","hh","hh_thrive_category","hh_weight",NA,NA,NA,NA,NA,NA,NA
"47","hh","hh_thrive_category_broad","hh_weight",NA,NA,NA,NA,NA,NA,NA
"48","hh","hh_urban_rural_suburban","hh_weight",NA,NA,NA,NA,NA,NA,NA
"49","veh","home_park_pass_cost","hh_weight",NA,NA,NA,NA,NA,NA,NA
"50","veh","co2_gpm","hh_weight",NA,NA,NA,NA,NA,NA,NA
"51","veh","mpg_city","hh_weight",NA,NA,NA,NA,NA,NA,NA
"52","veh","mpg_highway","hh_weight",NA,NA,NA,NA,NA,NA,NA
"53","veh","fuel_type","hh_weight",NA,NA,NA,NA,NA,NA,NA
"54","veh","weight_unladen","hh_weight",NA,NA,NA,NA,NA,NA,NA
"55","veh","veh_age","hh_weight",NA,NA,NA,NA,NA,NA,NA
"56","trip","depart_time","trip_weight",NA,NA,NA,NA,NA,NA,NA
"57","trip","arrive_time","trip_weight",NA,NA,NA,NA,NA,NA,NA
"58","trip","o_bg","trip_weight",NA,NA,NA,NA,NA,NA,NA
"59","trip","o_county","trip_weight",NA,NA,NA,NA,NA,NA,NA
"60","trip","o_state","trip_weight",NA,NA,NA,NA,NA,NA,NA
"61","trip","d_bg","trip_weight",NA,NA,NA,NA,NA,NA,NA
"62","trip","d_county","trip_weight",NA,NA,NA,NA,NA,NA,NA
"63","trip","d_state","trip_weight",NA,NA,NA,NA,NA,NA,NA
"64","trip","d_purpose_other","trip_weight",NA,NA,NA,NA,NA,NA,NA
"65","trip","duration","trip_weight",NA,NA,NA,NA,NA,NA,NA
"66","trip","duration_imputed","trip_weight",NA,NA,NA,NA,NA,NA,NA
"67","trip","distance","trip_weight",NA,NA,NA,NA,NA,NA,NA
"68","trip","speed_mph_imputed","trip_weight",NA,NA,NA,NA,NA,NA,NA
"69","trip","vehicle_park_cost","trip_weight",NA,NA,NA,NA,NA,NA,NA
"70","trip","taxi_cost","trip_weight",NA,NA,NA,NA,NA,NA,NA
