which_table,category,variable,survey_question,variable_logic,variable_label,value,value_label,value_logic,wt_field
per,Demographics,age,Household person 1 provided the age (in years) of each household member.,NA,Age,-9998,Missing: Non-response,NA,person_weight
per,Demographics,age,Household person 1 provided the age (in years) of each household member.,NA,Age,1,Under 5,NA,person_weight
per,Demographics,age,Household person 1 provided the age (in years) of each household member.,NA,Age,2,15-May,NA,person_weight
per,Demographics,age,Household person 1 provided the age (in years) of each household member.,NA,Age,3,16-17,NA,person_weight
per,Demographics,age,Household person 1 provided the age (in years) of each household member.,NA,Age,4,18-24,NA,person_weight
per,Demographics,age,Household person 1 provided the age (in years) of each household member.,NA,Age,5,25-34,NA,person_weight
per,Demographics,age,Household person 1 provided the age (in years) of each household member.,NA,Age,6,35-44,NA,person_weight
per,Demographics,age,Household person 1 provided the age (in years) of each household member.,NA,Age,7,45-54,NA,person_weight
per,Demographics,age,Household person 1 provided the age (in years) of each household member.,NA,Age,8,55-64,NA,person_weight
per,Demographics,age,Household person 1 provided the age (in years) of each household member.,NA,Age,9,65-74,NA,person_weight
per,Demographics,age,Household person 1 provided the age (in years) of each household member.,NA,Age,10,75 or older,NA,person_weight
per,Attitudes toward autonomous vehicles,av_future_travel,"In the future when autonomous vehicles are used, how often do you think you would travel?",If household member 1 for participation groups 1 & 2. If adult in participation group 3.,Predicted frequency of travel in the future when autonomous vehicles are used,-9998,Missing: Non-response,NA,person_weight
per,Attitudes toward autonomous vehicles,av_future_travel,"In the future when autonomous vehicles are used, how often do you think you would travel?",If household member 1 for participation groups 1 & 2. If adult in participation group 3.,Predicted frequency of travel in the future when autonomous vehicles are used,1,Travel more than now,NA,person_weight
per,Attitudes toward autonomous vehicles,av_future_travel,"In the future when autonomous vehicles are used, how often do you think you would travel?",If household member 1 for participation groups 1 & 2. If adult in participation group 3.,Predicted frequency of travel in the future when autonomous vehicles are used,2,Travel the same amount,NA,person_weight
per,Attitudes toward autonomous vehicles,av_future_travel,"In the future when autonomous vehicles are used, how often do you think you would travel?",If household member 1 for participation groups 1 & 2. If adult in participation group 3.,Predicted frequency of travel in the future when autonomous vehicles are used,3,Travel less than now,NA,person_weight
per,Attitudes toward autonomous vehicles,av_future_travel,"In the future when autonomous vehicles are used, how often do you think you would travel?",If household member 1 for participation groups 1 & 2. If adult in participation group 3.,Predicted frequency of travel in the future when autonomous vehicles are used,995,Missing: Skip logic,NA,person_weight
per,Attitudes toward autonomous vehicles,av_future_travel,"In the future when autonomous vehicles are used, how often do you think you would travel?",If household member 1 for participation groups 1 & 2. If adult in participation group 3.,Predicted frequency of travel in the future when autonomous vehicles are used,998,I don't know,NA,person_weight
per,Attitudes toward autonomous vehicles,av_own_interest,How interested are you in OWNING an autonomous vehicle in the future?,If household member 1 for participation groups 1 & 2. If adult in participation group 3.,Interest in owning autonomous vehicles in the future,-9998,Missing: Non-response,NA,person_weight
per,Attitudes toward autonomous vehicles,av_own_interest,How interested are you in OWNING an autonomous vehicle in the future?,If household member 1 for participation groups 1 & 2. If adult in participation group 3.,Interest in owning autonomous vehicles in the future,1,Very interested,NA,person_weight
per,Attitudes toward autonomous vehicles,av_own_interest,How interested are you in OWNING an autonomous vehicle in the future?,If household member 1 for participation groups 1 & 2. If adult in participation group 3.,Interest in owning autonomous vehicles in the future,2,Somewhat interested,NA,person_weight
per,Attitudes toward autonomous vehicles,av_own_interest,How interested are you in OWNING an autonomous vehicle in the future?,If household member 1 for participation groups 1 & 2. If adult in participation group 3.,Interest in owning autonomous vehicles in the future,3,Neutral,NA,person_weight
per,Attitudes toward autonomous vehicles,av_own_interest,How interested are you in OWNING an autonomous vehicle in the future?,If household member 1 for participation groups 1 & 2. If adult in participation group 3.,Interest in owning autonomous vehicles in the future,4,Somewhat uninterested,NA,person_weight
per,Attitudes toward autonomous vehicles,av_own_interest,How interested are you in OWNING an autonomous vehicle in the future?,If household member 1 for participation groups 1 & 2. If adult in participation group 3.,Interest in owning autonomous vehicles in the future,5,Not at all interested,NA,person_weight
per,Attitudes toward autonomous vehicles,av_own_interest,How interested are you in OWNING an autonomous vehicle in the future?,If household member 1 for participation groups 1 & 2. If adult in participation group 3.,Interest in owning autonomous vehicles in the future,995,Missing: Skip logic,NA,person_weight
per,Attitudes toward autonomous vehicles,av_own_interest,How interested are you in OWNING an autonomous vehicle in the future?,If household member 1 for participation groups 1 & 2. If adult in participation group 3.,Interest in owning autonomous vehicles in the future,998,I don't know,NA,person_weight
per,Attitudes toward autonomous vehicles,av_use_interest,How interested are you in using an autonomous vehicle in the future?,If household member 1 for participation groups 1 & 2. If adult in participation group 3.,Interest in using autonomous vehicles in the future,-9998,Missing: Non-response,NA,person_weight
per,Attitudes toward autonomous vehicles,av_use_interest,How interested are you in using an autonomous vehicle in the future?,If household member 1 for participation groups 1 & 2. If adult in participation group 3.,Interest in using autonomous vehicles in the future,1,Very interested,NA,person_weight
per,Attitudes toward autonomous vehicles,av_use_interest,How interested are you in using an autonomous vehicle in the future?,If household member 1 for participation groups 1 & 2. If adult in participation group 3.,Interest in using autonomous vehicles in the future,2,Somewhat interested,NA,person_weight
per,Attitudes toward autonomous vehicles,av_use_interest,How interested are you in using an autonomous vehicle in the future?,If household member 1 for participation groups 1 & 2. If adult in participation group 3.,Interest in using autonomous vehicles in the future,3,Neutral,NA,person_weight
per,Attitudes toward autonomous vehicles,av_use_interest,How interested are you in using an autonomous vehicle in the future?,If household member 1 for participation groups 1 & 2. If adult in participation group 3.,Interest in using autonomous vehicles in the future,4,Somewhat uninterested,NA,person_weight
per,Attitudes toward autonomous vehicles,av_use_interest,How interested are you in using an autonomous vehicle in the future?,If household member 1 for participation groups 1 & 2. If adult in participation group 3.,Interest in using autonomous vehicles in the future,5,Not at all interested,NA,person_weight
per,Attitudes toward autonomous vehicles,av_use_interest,How interested are you in using an autonomous vehicle in the future?,If household member 1 for participation groups 1 & 2. If adult in participation group 3.,Interest in using autonomous vehicles in the future,995,Missing: Skip logic,NA,person_weight
per,Attitudes toward autonomous vehicles,av_use_interest,How interested are you in using an autonomous vehicle in the future?,If household member 1 for participation groups 1 & 2. If adult in participation group 3.,Interest in using autonomous vehicles in the future,998,I don't know,NA,person_weight
per,Shared mobility,bike_freq,How often do you use a bicycle?,If adult,How often uses a bicycle,-9998,Missing: Non-response,NA,person_weight
per,Shared mobility,bike_freq,How often do you use a bicycle?,If adult,How often uses a bicycle,1,6-7 days a week,NA,person_weight
per,Shared mobility,bike_freq,How often do you use a bicycle?,If adult,How often uses a bicycle,2,5 days a week,NA,person_weight
per,Shared mobility,bike_freq,How often do you use a bicycle?,If adult,How often uses a bicycle,3,4 days a week,NA,person_weight
per,Shared mobility,bike_freq,How often do you use a bicycle?,If adult,How often uses a bicycle,4,2-3 days a week,NA,person_weight
per,Shared mobility,bike_freq,How often do you use a bicycle?,If adult,How often uses a bicycle,5,1 day a week,NA,person_weight
per,Shared mobility,bike_freq,How often do you use a bicycle?,If adult,How often uses a bicycle,6,1-3 days a month,NA,person_weight
per,Shared mobility,bike_freq,How often do you use a bicycle?,If adult,How often uses a bicycle,7,Less than monthly,NA,person_weight
per,Shared mobility,bike_freq,How often do you use a bicycle?,If adult,How often uses a bicycle,8,Never,NA,person_weight
per,Shared mobility,bike_freq,How often do you use a bicycle?,If adult,How often uses a bicycle,995,Missing: Skip logic,NA,person_weight
per,Demographics,disability,Do you have a disability or illness that affects your ability to travel in the region?,Adults only,Disability status,-9998,Missing: Non-response,NA,person_weight
per,Demographics,disability,Do you have a disability or illness that affects your ability to travel in the region?,Adults only,Disability status,0,No,NA,person_weight
per,Demographics,disability,Do you have a disability or illness that affects your ability to travel in the region?,Adults only,Disability status,1,Yes,NA,person_weight
per,Demographics,disability,Do you have a disability or illness that affects your ability to travel in the region?,Adults only,Disability status,995,Missing: Skip logic,NA,person_weight
per,Demographics,disability,Do you have a disability or illness that affects your ability to travel in the region?,Adults only,Disability status,999,Prefer not to answer,NA,person_weight
per,Shared mobility,drives_tnc,"Which of the following [shared mobility services], if any, do you use? Select all that apply.",If adult and has license,"Drives for Uber, Lyft, or other smartphone-app ride service",-9998,Missing: Non-response,NA,person_weight
per,Shared mobility,drives_tnc,"Which of the following [shared mobility services], if any, do you use? Select all that apply.",If adult and has license,"Drives for Uber, Lyft, or other smartphone-app ride service",0,No,NA,person_weight
per,Shared mobility,drives_tnc,"Which of the following [shared mobility services], if any, do you use? Select all that apply.",If adult and has license,"Drives for Uber, Lyft, or other smartphone-app ride service",1,Yes,NA,person_weight
per,Shared mobility,drives_tnc,"Which of the following [shared mobility services], if any, do you use? Select all that apply.",If adult and has license,"Drives for Uber, Lyft, or other smartphone-app ride service",995,Missing: Skip logic,NA,person_weight
per,Demographics,education,What is the highest level of education you have completed?,NA,Highest level of education completed,-9998,Missing: Non-response,NA,person_weight
per,Demographics,education,What is the highest level of education you have completed?,NA,Highest level of education completed,1,Less than high school,NA,person_weight
per,Demographics,education,What is the highest level of education you have completed?,NA,Highest level of education completed,2,High school graduate/GED,NA,person_weight
per,Demographics,education,What is the highest level of education you have completed?,NA,Highest level of education completed,3,Some college,NA,person_weight
per,Demographics,education,What is the highest level of education you have completed?,NA,Highest level of education completed,4,Vocational/technical training,NA,person_weight
per,Demographics,education,What is the highest level of education you have completed?,NA,Highest level of education completed,5,Associate degree,NA,person_weight
per,Demographics,education,What is the highest level of education you have completed?,NA,Highest level of education completed,6,Bachelor's degree,NA,person_weight
per,Demographics,education,What is the highest level of education you have completed?,NA,Highest level of education completed,7,Graduate/post-graduate degree,NA,person_weight
per,Demographics,education,What is the highest level of education you have completed?,NA,Highest level of education completed,995,Missing: Skip logic,NA,person_weight
per,Demographics,education,What is the highest level of education you have completed?,NA,Highest level of education completed,999,Prefer not to answer,NA,person_weight
per,Demographics,employment_status,What is each person's employment status?,Age 16+. Asked of adult members in participation group 3.,Employment status ,-9998,Missing: Non-response,NA,person_weight
per,Demographics,employment_status,What is each person's employment status?,Age 16+. Asked of adult members in participation group 3.,Employment status ,1,Full-time ,NA,person_weight
per,Demographics,employment_status,What is each person's employment status?,Age 16+. Asked of adult members in participation group 3.,Employment status ,2,Part-time,NA,person_weight
per,Demographics,employment_status,What is each person's employment status?,Age 16+. Asked of adult members in participation group 3.,Employment status ,3,Self-employed,NA,person_weight
per,Demographics,employment_status,What is each person's employment status?,Age 16+. Asked of adult members in participation group 3.,Employment status ,6,Not employed,NA,person_weight
per,Demographics,employment_status,What is each person's employment status?,Age 16+. Asked of adult members in participation group 3.,Employment status ,7,Unpaid volunteer or intern,NA,person_weight
per,Demographics,employment_status,What is each person's employment status?,Age 16+. Asked of adult members in participation group 3.,Employment status ,995,Missing: Skip logic,NA,person_weight
per,Demographics,ethnicity_afam,Which categories best describe you? Select all that apply.,Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.,Race/Ethnicity: Black or African American,-9998,Missing: Non-response,NA,person_weight
per,Demographics,ethnicity_afam,Which categories best describe you? Select all that apply.,Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.,Race/Ethnicity: Black or African American,0,No,NA,person_weight
per,Demographics,ethnicity_afam,Which categories best describe you? Select all that apply.,Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.,Race/Ethnicity: Black or African American,1,Yes,NA,person_weight
per,Demographics,ethnicity_afam,Which categories best describe you? Select all that apply.,Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.,Race/Ethnicity: Black or African American,995,Missing: Skip logic,NA,person_weight
per,Demographics,ethnicity_afam,Which categories best describe you? Select all that apply.,Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.,Race/Ethnicity: Black or African American,999,Prefer not to answer,NA,person_weight
per,Demographics,ethnicity_aiak,Which categories best describe you? Select all that apply.,Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.,Race/Ethnicity: American Indian or Alaska Native,-9998,Missing: Non-response,NA,person_weight
per,Demographics,ethnicity_aiak,Which categories best describe you? Select all that apply.,Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.,Race/Ethnicity: American Indian or Alaska Native,0,No,NA,person_weight
