"","category","variable","survey_question","variable_logic","variable_label","value","value_label","value_logic","which_table","wt_field"
"1","Demographics","age","Household person 1 provided the age (in years) of each household member.",NA,"Age","-9998","Missing: Non-response",NA,"per","person_weight"
"2","Demographics","age","Household person 1 provided the age (in years) of each household member.",NA,"Age","1","Under 5",NA,"per","person_weight"
"3","Demographics","age","Household person 1 provided the age (in years) of each household member.",NA,"Age","2","5-15",NA,"per","person_weight"
"4","Demographics","age","Household person 1 provided the age (in years) of each household member.",NA,"Age","3","16-17",NA,"per","person_weight"
"5","Demographics","age","Household person 1 provided the age (in years) of each household member.",NA,"Age","4","18-24",NA,"per","person_weight"
"6","Demographics","age","Household person 1 provided the age (in years) of each household member.",NA,"Age","5","25-34",NA,"per","person_weight"
"7","Demographics","age","Household person 1 provided the age (in years) of each household member.",NA,"Age","6","35-44",NA,"per","person_weight"
"8","Demographics","age","Household person 1 provided the age (in years) of each household member.",NA,"Age","7","45-54",NA,"per","person_weight"
"9","Demographics","age","Household person 1 provided the age (in years) of each household member.",NA,"Age","8","55-64",NA,"per","person_weight"
"10","Demographics","age","Household person 1 provided the age (in years) of each household member.",NA,"Age","9","65-74",NA,"per","person_weight"
"11","Demographics","age","Household person 1 provided the age (in years) of each household member.",NA,"Age","10","75 or older",NA,"per","person_weight"
"12","Attitudes toward autonomous vehicles","av_future_travel","In the future when autonomous vehicles are used, how often do you think you would travel?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Predicted frequency of travel in the future when autonomous vehicles are used","-9998","Missing: Non-response",NA,"per","person_weight"
"13","Attitudes toward autonomous vehicles","av_future_travel","In the future when autonomous vehicles are used, how often do you think you would travel?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Predicted frequency of travel in the future when autonomous vehicles are used","1","Travel more than now",NA,"per","person_weight"
"14","Attitudes toward autonomous vehicles","av_future_travel","In the future when autonomous vehicles are used, how often do you think you would travel?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Predicted frequency of travel in the future when autonomous vehicles are used","2","Travel the same amount",NA,"per","person_weight"
