"category","variable","survey_question","variable_logic","variable_label","value","value_label","value_logic"
"Demographics","age","Household person 1 provided the age (in years) of each household member.",NA,"Age","-9998","Missing: Non-response",NA
"Demographics","age","Household person 1 provided the age (in years) of each household member.",NA,"Age","1","Under 5",NA
"Demographics","age","Household person 1 provided the age (in years) of each household member.",NA,"Age","2","5-15",NA
"Demographics","age","Household person 1 provided the age (in years) of each household member.",NA,"Age","3","16-17",NA
"Demographics","age","Household person 1 provided the age (in years) of each household member.",NA,"Age","4","18-24",NA
"Demographics","age","Household person 1 provided the age (in years) of each household member.",NA,"Age","5","25-34",NA
"Demographics","age","Household person 1 provided the age (in years) of each household member.",NA,"Age","6","35-44",NA
"Demographics","age","Household person 1 provided the age (in years) of each household member.",NA,"Age","7","45-54",NA
"Demographics","age","Household person 1 provided the age (in years) of each household member.",NA,"Age","8","55-64",NA
"Demographics","age","Household person 1 provided the age (in years) of each household member.",NA,"Age","9","65-74",NA
"Demographics","age","Household person 1 provided the age (in years) of each household member.",NA,"Age","10","75 or older",NA
"Attitudes toward autonomous vehicles","av_future_travel","In the future when autonomous vehicles are used, how often do you think you would travel?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Predicted frequency of travel in the future when autonomous vehicles are used","-9998","Missing: Non-response",NA
"Attitudes toward autonomous vehicles","av_future_travel","In the future when autonomous vehicles are used, how often do you think you would travel?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Predicted frequency of travel in the future when autonomous vehicles are used","1","Travel more than now",NA
"Attitudes toward autonomous vehicles","av_future_travel","In the future when autonomous vehicles are used, how often do you think you would travel?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Predicted frequency of travel in the future when autonomous vehicles are used","2","Travel the same amount",NA
"Attitudes toward autonomous vehicles","av_future_travel","In the future when autonomous vehicles are used, how often do you think you would travel?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Predicted frequency of travel in the future when autonomous vehicles are used","3","Travel less than now",NA
