"make","model","raw_n","ave_year","weighted_n","co2_gpm","mpg_city","mpg_highway","weight_unladen"
"Toyota","Camry",355,2009,70334.00011,355.48,21,31,3362
"Honda","CR-V",319,2012,57643.71245,348.643846153846,22.4383,29.74665,3426
"Toyota","Corolla",267,2009,50899.30129,325.856666666667,24,32.5,2800
"Ford","Escape",227,2013,50313.82008,362,21.5725,29.551025,3618.5
"Honda","Accord",247,2009,48602.04974,370.291666666667,21,30,3328
"Toyota","RAV4",233,2012,47270.10949,387.123106060606,20.232175,26.862275,3544.5
"Ford","F-150",173,2009,47170.67295,555.4375,14,19,5236.5
"Toyota","Prius",237,2011,44510.6819,185.145833333333,49.3956,45.865,3042
"Honda","Civic",253,2010,44192.52645,306.448275862069,20.9,29.1,2762.5
"Chevrolet","Silverado",180,2010,42010.42602,493.722222222222,15,22,5719
"Ford","Focus",168,2011,38578.20938,311.920566502463,25.031,33.56455,2632.5
"Honda","Odyssey",134,2010,37524.34271,469.036111111111,16.5,24,4524.5
"Motorcycle","Other",175,2001,37311.0531,NA,NA,NA,NA
"Subaru","Outback",221,2013,36368.42239,375,21.1244,27.7142,3482.5
"Chevrolet","Equinox",156,2015,33471.92979,364,21.3337,29.8192,3803
"Subaru","Forester",181,2012,29609.39925,386.391304347826,20.8185,26.2183,3360
"Ford","Fusion",146,2013,28081.39969,269.5,31.87595,35.436,3523
"Toyota","Sienna",124,2010,27417.39851,480.729532163743,16.5,22,4412.5
"Hyundai","Sonata",114,2011,26389.35367,341.807692307692,22.1096,33.7011,3268.5
"Chrysler","Town & Country",107,2009,26230.03025,467.736842105263,17,24,4507
"Toyota","Highlander",124,2011,25793.59788,424.152272727273,18.74755,24.4353,4365
"Chevrolet","Malibu",111,2011,22245.33293,341.807692307692,21.824,32.4136,3436
"Honda","Pilot",87,2011,21517.89491,480.729532163743,16.3252,22.38825,4504
"Dodge","Grand Caravan",91,2010,21395.06662,467.736842105263,17,24,4321
"Nissan","Altima",91,2011,21208.00302,372.881118881119,21.53245,29.1098,3333
"Jeep","Grand Cherokee",104,2011,20438.29341,493.722222222222,16.02875,22.414,4780
"Chevrolet","Impala",106,2010,19758.63297,403.954545454545,18,29,3602
"Mazda","Mazda3",132,2012,19333.66617,306.813095238095,25.7087,34.6349,2932.5
"Hyundai","Elantra",88,2012,19294.14614,277.71875,28,38,2661
"Nissan","Rogue",90,2015,18911.65745,343,23.7454,29.40355,3427.5
"Ford","Explorer",82,2008,17674.61511,573.952083333333,13.25,19.5,4436
"Subaru","Impreza",93,2014,16236.55435,374.75,21.550975,28.587425,NA
"Hyundai","Santa Fe",73,2013,15615.94446,424,18.75455,24.9306,4007
"Kia","Soul",69,2014,15101.51123,338,23.5971,29.5912,2879
"Volkswagen","Jetta",94,2011,14648.51579,316.5,24.02725,33.18715,3185.5
"Jeep","Cherokee",63,2014,14333.0438,425.5,18.519,24.80795,4106
"Ford","Edge",95,2013,14285.42183,422,18.2635,26.1085,4232
"GMC","Sierra",50,2009,14252.06971,539.101102941176,14.5,20,5556
"BMW","3 Series",58,2010,14067.32584,444.35,17,26,3649
"Mazda","CX-5",77,2016,13767.73741,324,24.967925,31.277825,3415
"Chevrolet","Cruze",66,2014,13572.23571,309,25.6879,36.453,3102
"Chevrolet","Suburban",50,2005,13387.96371,613.62619047619,13,17.5,5474
"Chevrolet","Traverse",46,2014,12900.26248,470.5,16.3669,23.31,4758.5
"Toyota","Tacoma",55,2011,12744.53283,469.592940685046,17.461775,21.596,3762.5
"Nissan","Sentra",42,2011,12724.95232,341.807692307692,23.7023,30.0022,2960
"Ford","Mustang",40,2006,10735.61562,480.729532163743,16,23,3480
"Kia","Sorento",53,2014,10490.36446,424.5,18.430125,24.6818,3833
"Acura","MDX",39,2011,10448.65743,493.722222222222,15.9536,20.7059,4550
"Kia","Optima",34,2013,10223.7312,326,23.5267,33.65,3223
"Ford","Taurus",57,2005,10185.68854,444.35,18,25,3313
"Mazda","Mazda6",48,2010,9988.40198,386.391304347826,20,29,3402.5
"Ram","1500",41,2016,9895.57181,482,15.97225,23.05305,5191.5
"Chevrolet","Tahoe",47,2008,9668.34563,499.89375,17,19.75,5394.5
"Lexus","RX",61,2010,9584.42401,296.233333333333,32,28,4510
"Lexus","RX",61,2010,9584.42401,433.770238095238,18,24.5,4510
"Volkswagen","Passat",44,2010,9536.07804,355.48,21.9904,30.747,3391.5
"Honda","Fit",101,2012,9476.56593,296.233333333333,27,33,2540
"Saturn","VUE",27,2006,9336.59411,433.770238095238,18.5,25,3388
"GMC","Acadia",35,2014,9188.34684,474.5,16.21635,23.1108,4711
"Dodge","Ram Pickup",29,2003,8870.60233,634.785714285714,13,16.5,5878
"Ford","Ranger",64,2003,8534.74941,522.764705882353,15,20,3535.5
"Buick","LeSabre",43,2002,8411.08547,423.190476190476,17,27,3579
"Pontiac","Vibe",44,2007,8145.5494,317.798212005109,25.5,32,2700
"MINI","Cooper",28,2011,8089.00302,282.198084677419,28.2177,35.80035,2811
"Chrysler","Pacifica",25,2015,8082.72846,NA,NA,NA,NA
"Subaru","Legacy",57,2013,7891.06764,375,21.1244,27.7142,3427
"Chevrolet","Sonic",28,2014,7785.97277,300,26.4099,34.8856,2745
"Mazda","CX-9",18,2011,7539.1705,467.736842105263,16.66665,22.80475,4438
"Volkswagen","Tiguan",37,2015,7353.53107,393,20.5204,25.5684,3316
"Toyota","4Runner",33,2009,7250.32171,NA,NA,NA,NA
"Nissan","Murano",32,2012,7223.43296,444.35,17.9536,23.3465,4025
"Subaru","Crosstrek",44,2018,6990.06166,327,24.70375,30.8777,3209
"Nissan","Pathfinder",27,2013,6965.35435,411,19.5075,25.1266,4185
"Kia","Sedona",17,2013,6831.60449,NA,NA,NA,NA
"Audi","A4",37,2010,6503.08783,341.807692307692,23,30,3660
"Chevrolet","TrailBlazer",28,2005,6231.90934,573.952083333333,13.5,18.75,4773
"Dodge","Journey",16,2013,6085.43108,450.5,17.036625,24.626275,4153
"Kia","Forte",27,2015,5922.33481,303,25.2036,36.2115,2857.5
"Subaru","XV Crosstrek",30,2014,5809.03365,313.75,26.38985,31.40425,3164
"Audi","A6",19,2008,5766.07298,423.190476190476,18,27,4211
"Jeep","Liberty",28,2007,5657.32033,522.764705882353,15.5,20.25,3847
"Dodge","Durango",30,2010,5641.3873,NA,NA,NA,NA
"Toyota","Tundra",32,2009,5596.28289,NA,NA,NA,NA
"Acura","RDX",21,2015,5553.11652,394,19.6944,27.25865,3785
"Mitsubishi","Outlander",24,2013,5459.16819,NA,NA,NA,NA
"Jeep","Patriot",23,2013,5417.83556,377.5,21.6063,26.5792,3236
"Toyota","Matrix",25,2007,5366.31851,317.798212005109,25.5,32,2679
"Hyundai","Tucson",28,2015,5364.28842,381,21.0019,26.5769,3373
"GMC","Terrain",29,2015,5322.60953,389,20.2177,28.5059,4027
"Chevrolet","Cavalier",11,2000,5268.91533,NA,NA,NA,NA
"Jeep","Wrangler",31,2007,5204.52815,NA,NA,NA,NA
"Kia","Sportage",37,2014,5201.93778,398.25,19.770875,25.961125,3429.5
"Mercedes-Benz","E",13,2007,5172.6781,NA,NA,NA,NA
"Honda","Other",20,2009,5115.51867,NA,NA,NA,NA
"Pontiac","Grand Prix",24,2003,5089.21744,444.35,17,26,3496
"Chevrolet","Cobalt",29,2008,5059.98571,341.807692307692,22,31,3103.5
"Dodge","Caravan",25,2003,5032.55734,483.557352941176,16,22.5,3758
"Acura","TSX",16,2009,4977.26766,370.935652173913,20.5,29,3400
"Jeep","Wrangler Unlimited",15,2014,4931.35509,503,15.8405,20.40205,4397
"Chrysler","PT Cruiser",18,2004,4914.9275,NA,NA,NA,NA
"Chevrolet","Colorado",14,2012,4908.17626,NA,NA,NA,NA
"Volvo","S60",22,2011,4888.03651,NA,NA,NA,NA
"Buick","LaCrosse",32,2011,4886.07641,415.370652173913,17.94675,27.95515,4045
"Buick","Enclave",24,2012,4789.67593,480.729532163743,16.3293,22.78735,4780
"Cadillac","CTS",10,2012,4680.39538,467.736842105263,16.0395,25.5028,3883.5
"Audi","Q5",17,2015,4672.9308,395,19.6583,27.2277,4292.5
"Saturn","S Series",17,1999,4630.1973,329.148148148148,23,33.5,2418
"Toyota","Avalon",39,2008,4569.21538,403.954545454545,19,28,3490
"Lexus","ES",27,2008,4532.52441,NA,NA,NA,NA
"Pontiac","G6",18,2007,4477.00248,423.190476190476,18,26,3472
"Dodge","Caliber",10,2008,4333.31711,370.291666666667,23,27,3156
"Saturn","Ion",29,2005,4327.96557,370.291666666667,21,29,2793
"Nissan","LEAF",23,2015,4299.26003,0,NA,NA,3256
"GMC","Yukon",22,2007,4294.68936,555.4375,14,19,5687
"Jeep","Compass",22,2014,4246.38767,381,21.24865,27.2263,3203.5
"Mitsubishi","Outlander Sport",17,2015,4214.22167,343.5,23.425725,28.602775,3131
"Toyota","Yaris",20,2009,4181.92691,282.198084677419,29,35.5,2302
"Ford","Crown Victoria",12,2005,4159.359,NA,NA,NA,NA
"Toyota","Prius c",24,2014,4115.52527,178,52.5854,46.3205,2500
"Honda","Ridgeline",20,2013,4108.52821,505,15.5008,20.7732,4513
"Honda","Accord Hybrid",11,2016,4075.41218,NA,NA,NA,NA
"Toyota","Sequoia",8,2008,4074.77562,603.046428571429,13.5,17.5,5952.5
"Ford","Expedition",14,2007,4072.0202,592.466666666667,12,18,5865.5
"Toyota","Prius v",23,2014,4013.00913,217,42.5946,38.7724,3274
"Cadillac","Deville",13,2003,3996.56015,NA,NA,NA,3978
"Dodge","Other",23,2015,3978.159,NA,NA,NA,NA
"Lincoln","Town Car",13,2002,3908.59001,NA,NA,NA,NA
"Volkswagen","GTI",22,2015,3887.8842,315,24.77645,33.45375,3020
"Volvo","XC90",21,2011,3814.43893,509.151041666667,15.352425,21.6937,4793.5
"Buick","Regal",15,2008,3692.13547,NA,NA,NA,NA
"Honda","HR-V",27,2017,3602.74506,301.5,27.36275,32.50945,3062
"Dodge","Charger",14,2012,3592.03572,NA,NA,NA,NA
"Mazda","MX-5 Miata",18,2000,3588.23124,386.391304347826,21,26,2332
"Toyota","Other",15,2008,3553.16226,NA,NA,NA,NA
"Chevrolet","Corvette",21,1999,3542.14864,469.036111111111,15.5,24.5,3186.5
"GMC","Envoy",11,2004,3539.9326,564.694791666667,13.75,18.5,4851
"Buick","Century",17,2000,3519.39073,423.190476190476,18,27,3368
"Nissan","Frontier",13,2010,3480.48878,517.175938467492,15.5,20,4070
"Acura","TL",22,2007,3374.35055,423.190476190476,18,26,3623
"Nissan","Versa",13,2010,3370.5278,NA,NA,NA,NA
"Chevrolet","Other",12,2005,3362.70701,NA,NA,NA,NA
"Tesla","Model 3",13,2018,3360.41031,0,NA,NA,3810.5
"Lincoln","MKZ",16,2012,3303.00514,423.190476190476,17.8951,26.5822,3752
"Chevrolet","Volt",22,2014,3234.24197,81,34.9,39.7,3781
"Ford","F-250",22,2004,3233.62415,NA,NA,NA,NA
"Kia","Rio",18,2011,3203.53344,296.233333333333,27.32605,34.00655,2401.5
"Mercedes-Benz","C",15,2011,3201.12841,NA,NA,NA,NA
"Nissan","Xterra",10,2009,3200.56405,NA,NA,NA,NA
"Infiniti","G37x",8,2012,3181.70468,444.35,17.767,25.0032,NA
"Chrysler","200",16,2014,3156.87908,380,19.6583,29.0835,3389
"Ford","C-Max Hybrid",10,2015,3110.57034,NA,NA,NA,NA
"Chrysler","300C",8,2011,3061.14866,NA,NA,NA,NA
"Nissan","Maxima",20,2010,3025.54921,403.954545454545,19,26,3556
"GMC","Yukon XL",15,2009,3021.20085,NA,NA,NA,NA
"Pontiac","Grand Am",10,2004,3007.1439,355.48,21,31,3091
"Dodge","Dart",12,2014,3006.28368,327,23.6998,34.2642,3186
"Mazda","Mazda5",15,2010,3001.81019,378.341485507246,21.5,27.5,3422
"Ford","F-350",22,2009,2997.10496,NA,NA,NA,NA
"Volkswagen","Golf",19,2009,2964.7774,NA,NA,NA,NA
"Chrysler","Sebring",15,2005,2948.59846,423.190476190476,18,26,3274.5
"Mercury","Grand Marquis",10,2003,2941.30994,NA,NA,NA,NA
"Mercury","Mountaineer",6,2004,2901.029,583.209375,13.5,18.25,4329.5
"Chevrolet","Camaro",15,2001,2885.33196,NA,NA,NA,NA
"GMC","Canyon",14,2012,2877.32804,NA,NA,NA,NA
"Volvo","V70",7,2002,2874.85832,NA,NA,NA,NA
"Mazda","CX-3",4,2017,2865.26406,298,27.59975,32.77075,2809
"Chevrolet","HHR",15,2008,2845.08446,370.291666666667,21,29,3067
"Ford","Flex",8,2014,2841.65418,453.75,17.148325,23.7468,4557
"Volkswagen","Touareg",5,2014,2824.30441,NA,NA,NA,NA
"Hyundai","Accent",14,2013,2807.43304,280.5,28,37,2413
"Chevrolet","Malibu Maxx",6,2005,2770.9474,386.391304347826,20,28,NA
"Mercedes-Benz","M",10,2010,2748.92037,NA,NA,NA,NA
"Toyota","Scion xD",5,2011,2700.45291,NA,NA,NA,NA
"Chevrolet","C1500",11,1995,2641.14438,NA,NA,NA,NA
"Pontiac","Other",5,2003,2618.19133,NA,NA,NA,NA
"Lexus","IS",9,2011,2591.77566,424.152272727273,18.7896,25.75475,3703
"Audi","A3",10,2015,2496.51326,310,27.1783,37.33285,3287
"Mercedes-Benz","CLA",3,2015,2471.25297,NA,NA,NA,NA
"Volkswagen","Golf Alltrack",8,2018,2467.73657,358,21.6578,29.77065,3395
"Dodge","Dakota",14,2003,2409.77787,595.111607142857,13.5,17.5,3951
"Dodge","Stratus",12,2005,2367.04514,423.190476190476,18,26,3131.5
"Lexus","GS",15,2010,2362.34573,403.954545454545,19,26,4049.5
"Lexus","GS",15,2010,2362.34573,386.391304347826,22,25,4049.5
"Chevrolet","Avalanche",11,2006,2347.2967,NA,NA,NA,NA
"Oldsmobile","Alero",9,2002,2338.73176,370.291666666667,21,30,3018.5
"Kia","Spectra",11,2007,2335.58574,341.807692307692,23,31,2701
"Buick","Encore",17,2015,2324.02846,320,25,33,3297.5
"Saturn","L Series",11,2002,2318.70012,370.291666666667,21,29.5,3070
"BMW","5 Series",18,2009,2314.23152,NA,NA,NA,NA
"Mazda","B-Series",3,1998,2270.62622,NA,NA,NA,NA
"Toyota","Camry Solara",11,2005,2256.17024,370.291666666667,20,29,3470
"Kia","Niro",8,2018,2231.51231,183,50.8864,46.2675,3199
"Buick","Lucerne",14,2008,2200.09094,493.722222222222,15,23,3792
"BMW","i3",4,2015,2195.9241,0,NA,NA,2716.5
