"thriveCatBroader","make","model","raw_n_xthrive","ave_year_xthrive","weighted_n_xthrive","co2_gpm","mpg_city","mpg_highway","weight_unladen"
"Urban","Toyota","Camry",177,2008,32548.36446,355.48,21,31,3362
"Urban","Honda","CR-V",155,2012,22478.05153,348.643846153846,22.4383,29.74665,3426
"Urban","Toyota","Prius",153,2011,21012.03631,185.145833333333,49.3956,45.865,3042
"Urban","Toyota","Corolla",150,2009,20488.86459,325.856666666667,24,32.5,2800
"Urban","Honda","Civic",148,2009,18400.33461,306.448275862069,25,34,2714
"Urban","Toyota","RAV4",111,2012,17626.89741,387.123106060606,20.232175,26.862275,3544.5
"Urban","Subaru","Outback",118,2012,16727.76245,390.061928811929,20.4671,27.389425,3573.5
"Urban","Subaru","Forester",116,2012,16396.16922,386.391304347826,20.8185,26.2183,3360
"Urban","Honda","Accord",111,2008,15626.61184,370.291666666667,21,31,3368
"Urban","Ford","Focus",90,2010,14077.39768,317.392857142857,24,34.5,2623
"Urban","Ford","Escape",93,2013,13150.51804,362,21.5725,29.551025,3618.5
"Urban","Ford","F-150",48,2007,12239.37604,592.466666666667,13,18,5004
"Urban","Hyundai","Sonata",47,2010,11816.87295,355.48,21,32,3327
"Urban","Toyota","Highlander",52,2011,11399.02708,424.152272727273,18.74755,24.4353,4365
"Urban","Subaru","Impreza",72,2014,10410.75771,374.75,21.550975,28.587425,NA
"Urban","Honda","Odyssey",45,2009,10337.50229,469.036111111111,16.5,24,4524.5
"Urban","Chevrolet","Silverado",43,2009,10002.02762,522.764705882353,15,20,5840
"Urban","Ford","Fusion",62,2013,9513.76859,269.5,31.87595,35.436,3523
"Urban","Jeep","Grand Cherokee",51,2011,9399.35312,493.722222222222,16.02875,22.414,4780
"Urban","Nissan","Altima",43,2010,9267.4211,386.391304347826,20,27,3139.5
"Urban","Chrysler","Town & Country",40,2008,9220.64551,480.729532163743,16.5,23.5,4507
"Urban","Hyundai","Elantra",50,2011,9060.58337,277.71875,28,38,2661
"Urban","Mazda","Mazda3",87,2013,8724.285,303.5,25.7117,34.638,2896
"Urban","BMW","3 Series",31,2010,8678.01177,444.35,17,26,3649
"Urban","Chevrolet","Malibu",49,2009,8601.71247,386.391304347826,19,29,3486.5
"Urban","Chevrolet","Equinox",54,2014,8210.65606,403.75,18.961675,26.6596,3829
"Urban","Toyota","Sienna",48,2010,7104.41892,480.729532163743,16.5,22,4412.5
"Urban","Honda","Pilot",27,2010,7020.90428,480.729532163743,16.5,22.5,4504
"Urban","Ford","Explorer",27,2007,6898.94201,NA,NA,NA,NA
"Urban","Nissan","Sentra",22,2012,6862.21478,341.807692307692,23.7023,30.0022,2961
"Urban","Nissan","Rogue",42,2015,6379.50459,343,23.7454,29.40355,3427.5
"Urban","Volkswagen","Jetta",57,2011,6195.06204,316.5,24.02725,33.18715,3185.5
"Urban","Kia","Soul",37,2014,6102.11408,338,23.5971,29.5912,2879
"Urban","Honda","Fit",79,2012,5878.8269,296.233333333333,27,33,2540
"Urban","MINI","Cooper",19,2012,5842.83472,286.976041666667,28.2992,35.45455,2811
"Urban","Jeep","Cherokee",26,2013,5638.0571,NA,NA,NA,NA
"Urban","Dodge","Grand Caravan",29,2010,5558.96369,467.736842105263,17,24,4321
"Urban","Buick","LeSabre",23,2003,4962.91059,423.190476190476,17,27,3567
"Urban","Ford","Edge",29,2012,4897.28242,429.998983253589,18.14185,25.494675,4258
